utterance	output
唱一首法海你不懂爱给我听	[IN:PLAYMUSIC 唱一首[SL:SONG_NAME 法海你不懂爱]给我听]
来首高山流水吧	[IN:PLAYMUSIC 来首[SL:SONG_NAME 高山流水]吧]
我要听郁可唯的歌	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 郁可唯]的歌]
我想听华晨宇的齐天大圣	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 华晨宇]的[SL:SONG_NAME 齐天大圣]]
播回来了	[IN:PLAYMUSIC 播[SL:SONG_NAME 回来了]]
播放薛之谦的角色	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 薛之谦]的[SL:SONG_NAME 角色]]
播放原声侠的猩猩和狮子	[IN:PLAYFMJOKE 播放[SL:JOKE_TAG 原声侠]的[SL:JOKE_NAME 猩猩和狮子]]
唱《真英雄》	[IN:PLAYMUSIC 唱《[SL:SONG_NAME 真英雄]》]
发一首你不来我不老	[IN:PLAYMUSIC 发一首[SL:SONG_NAME 你不来我不老]]
播放歌曲信仰之名。	[IN:PLAYMUSIC 播放歌曲[SL:SONG_NAME 信仰之名]。]
播放粤语	[IN:PLAYMUSIC 播放[SL:SONG_LANGUAGE 粤语]]
我要听tfboys。	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME tfboys]。]
歌曲让我一次爱个够。	[IN:PLAYMUSIC 歌曲[SL:SONG_NAME 让我一次爱个够]。]
深圳新闻	[IN:GETNEWS [SL:LOCATION 深圳]新闻]
播放beyond的歌曲	[IN:PLAYMUSIC 播放[SL:SINGER_NAME beyond]的歌曲]
张靓颖的英文歌曲	[IN:PLAYMUSIC [SL:SINGER_NAME 张靓颖]的[SL:SONG_LANGUAGE 英文]歌曲]
来一首催眠曲	[IN:PLAYMUSIC 来一首[SL:SONG_TYPE 催眠曲]]
你会唱许嵩的歌吗	[IN:PLAYMUSIC 你会唱[SL:SINGER_NAME 许嵩]的歌吗]
给我讲三毛流浪记	[IN:PLAYFMSTORY 给我讲[SL:STORY_NAME 三毛流浪记]]
我要听黑猫警长之失控的小动物	[IN:PLAYFMSTORY 我要听[SL:STORY_NAME 黑猫警长之失控的小动物]]
大河南歌曲！	[IN:PLAYMUSIC [SL:SONG_NAME 大河南]歌曲！]
唱海阔天空给我听!	[IN:PLAYMUSIC 唱[SL:SONG_NAME 海阔天空]给我听!]
小欧，你给我唱首歌叫我是你。	[IN:PLAYMUSIC 小欧，你给我唱首歌叫[SL:SONG_NAME 我是你]。]
云烟成雨	[IN:PLAYMUSIC [SL:SONG_NAME 云烟成雨]]
菊次郎的夏天	[IN:PLAYMUSIC [SL:SONG_NAME 菊次郎的夏天]]
播放张惠妹的歌	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 张惠妹]的歌]
我想听盗墓笔记	[IN:PLAYFMFICTION 我想听[SL:FICTION_NAME 盗墓笔记]]
我想听忘情水，这首歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 忘情水]，这首歌。]
给我唱首大王叫我来巡山吧！	[IN:PLAYMUSIC 给我唱首[SL:SONG_NAME 大王叫我来巡山]吧！]
给我来一首大梦想家。	[IN:PLAYMUSIC 给我来一首[SL:SONG_NAME 大梦想家]。]
播放英语新闻	[IN:GETNEWS 播放[SL:NEWS_TAG 英语]新闻]
学猫叫。	[IN:PLAYMUSIC [SL:SONG_NAME 学猫叫]。]
杭州今天该穿多少衣服	[IN:GETWEATHER [SL:LOCATION 杭州][SL:DATE 今天]该穿多少衣服]
播放歌曲，归家心切。	[IN:PLAYMUSIC 播放歌曲，[SL:SONG_NAME 归家心切]。]
我想听网络热门歌曲。	[IN:PLAYMUSIC 我想听[SL:SONG_TYPE 网络热门歌曲]。]
我要听圣诞歌。	[IN:PLAYMUSIC 我要听[SL:SONG_TYPE 圣诞歌]。]
有没有蒋勋细说红楼梦	[IN:PLAYFMFICTION 有没有[SL:AUTHOR_NAME 蒋勋][SL:FICTION_NAME 细说红楼梦]]
我要听宝宝学说话	[IN:PLAYFMSTORY 我要听[SL:STORY_NAME 宝宝学说话]]
给我唱一首,无所谓。	[IN:PLAYMUSIC 给我唱一首,[SL:SONG_NAME 无所谓]。]
来一首我们不一样	[IN:PLAYMUSIC 来一首[SL:SONG_NAME 我们不一样]]
找一首小鸡哔哔	[IN:PLAYMUSIC 找一首[SL:SONG_NAME 小鸡哔哔]]
唱刘若英的歌给主人听	[IN:PLAYMUSIC 唱[SL:SINGER_NAME 刘若英]的歌给主人听]
我想听三个和尚	[IN:PLAYFMSTORY 我想听[SL:STORY_NAME 三个和尚]]
我要听英文歌曲	[IN:PLAYMUSIC 我要听[SL:SONG_LANGUAGE 英文]歌曲]
一首歌曲小鸡小鸡	[IN:PLAYMUSIC 一首歌曲[SL:SONG_NAME 小鸡小鸡]]
广岛之恋	[IN:PLAYMUSIC [SL:SONG_NAME 广岛之恋]]
我要听学猫叫	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 学猫叫]]
月亮代表我的心	[IN:PLAYMUSIC [SL:SONG_NAME 月亮代表我的心]]
来个岳云鹏的相声	[IN:PLAYFMCROSSTALK 来个[SL:CROSSTALK_NAME 岳云鹏]的相声]
我，我想听有点甜这首歌。	[IN:PLAYMUSIC 我，我想听[SL:SONG_NAME 有点甜]这首歌。]
播放刘佳的爱的就是你	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 刘佳]的[SL:SONG_NAME 爱的就是你]]
我想听薛之谦的演员	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 薛之谦]的[SL:SONG_NAME 演员]]
小缘的歌	[IN:PLAYMUSIC [SL:SINGER_NAME 小缘]的歌]
周杰伦的歌，来一首	[IN:PLAYMUSIC [SL:SINGER_NAME 周杰伦]的歌，来一首]
给我唱papp	[IN:PLAYMUSIC 给我唱[SL:SONG_NAME papp]]
唱忐忑	[IN:PLAYMUSIC 唱[SL:SONG_NAME 忐忑]]
听黄家驹的	[IN:PLAYMUSIC 听[SL:SINGER_NAME 黄家驹]的]
唱首安眠曲。	[IN:PLAYMUSIC 唱首[SL:SONG_TYPE 安眠曲]。]
讲一个米小圈的故事	[IN:PLAYFMSTORY 讲一个[SL:STORY_TAG 米小圈]的故事]
放一首大王叫我来巡山哦	[IN:PLAYMUSIC 放一首[SL:SONG_NAME 大王叫我来巡山]哦]
我要听大王叫我来巡山那首歌。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 大王叫我来巡山]那首歌。]
唱一首鹿晗的歌吧	[IN:PLAYMUSIC 唱一首[SL:SINGER_NAME 鹿晗]的歌吧]
我要听新的心跳。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 新的心跳]。]
来一首中文的	[IN:PLAYMUSIC 来一首[SL:SONG_TYPE 中文]的]
歌曲忘情水。	[IN:PLAYMUSIC 歌曲[SL:SONG_NAME 忘情水]。]
播放一什么不同？	[IN:PLAYMUSIC 播放一[SL:SONG_NAME 什么不同]？]
放新年歌	[IN:PLAYMUSIC 放[SL:SONG_NAME 新年歌]]
哼个小曲儿吧	[IN:PLAYMUSIC 哼个[SL:SONG_TYPE 小曲儿]吧]
放李志的歌	[IN:PLAYMUSIC 放[SL:SINGER_NAME 李志]的歌]
唱一首小苹果儿。	[IN:PLAYMUSIC 唱一首[SL:SONG_NAME 小苹果]儿。]
给我放个《你还要怎样》	[IN:PLAYMUSIC 给我放个《[SL:SONG_NAME 你还要怎样]》]
征服，唱个中国。	[IN:PLAYMUSIC 征服，唱个[SL:SONG_NAME 中国]。]
三十分钟后关机	[IN:REMIND [SL:DATE 三十分钟]后关机]
我想听光辉岁月	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 光辉岁月]]
明天早晨六点半叫我起床	[IN:REMIND [SL:DATE 明天早晨六点半]叫我[SL:EVENT 起床]]
明天早上用平凡之路叫醒我	[IN:REMIND [SL:DATE 明天早上][SL:EVENT 用平凡之路叫醒我]]
听港飞飞。	[IN:PLAYMUSIC 听[SL:SONG_NAME 港飞飞]。]
给我唱孙燕姿的歌	[IN:PLAYMUSIC 给我唱[SL:SINGER_NAME 孙燕姿]的歌]
我要听稻香。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 稻香]。]
你快乐吗	[IN:PLAYMUSIC [SL:SONG_NAME 你快乐吗]]
来一首明月几时有?	[IN:PLAYMUSIC 来一首[SL:SONG_NAME 明月几时有]?]
我要听小潘潘，小峰峰的歌	[IN:PLAYMUSIC 我要听小潘潘，[SL:SINGER_NAME 小峰峰]的歌]
我想听逆流成河。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 逆流成河]。]
播放茉莉花	[IN:PLAYMUSIC 播放[SL:SONG_NAME 茉莉花]]
来（一）首黄品源的小薇	[IN:PLAYMUSIC 来（一）首[SL:SINGER_NAME 黄品源]的[SL:SONG_NAME 小薇]]
放首刘德华的歌	[IN:PLAYMUSIC 放首[SL:SINGER_NAME 刘德华]的歌]
唱一首陈奕迅的《十年》	[IN:PLAYMUSIC 唱一首[SL:SINGER_NAME 陈奕迅]的《[SL:SONG_NAME 十年]》]
张震岳的歌，体验	[IN:PLAYMUSIC [SL:SINGER_NAME 张震岳]的歌，体验]
那你给我播放，明天会更好这首歌曲。	[IN:PLAYMUSIC 那你给我播放，[SL:SONG_NAME 明天会更好]这首歌曲。]
播放论语	[IN:PLAYPOEM 播放[SL:POEM_NAME 论语]]
我想听曾经的你。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 曾经的你]。]
三只小熊	[IN:PLAYMUSIC [SL:SONG_NAME 三只小熊]]
想你好给我唱首回娘家。	[IN:PLAYMUSIC 想你好给我唱首[SL:SONG_NAME 回娘家]。]
我想听我的未来不是梦。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 我的未来不是梦]。]
给我唱，大王叫我来巡山。	[IN:PLAYMUSIC 给我唱，[SL:SONG_NAME 大王叫我来巡山]。]
我想听时光中。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 时光中]。]
我想听我们的明天。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 我们的明天]。]
拔萝卜	[IN:PLAYMUSIC [SL:SONG_NAME 拔萝卜]]
播放天后	[IN:PLAYMUSIC 播放[SL:SONG_NAME 天后]]
放几首苏打绿的歌	[IN:PLAYMUSIC 放几首[SL:SINGER_NAME 苏打绿]的歌]
播放静夜思	[IN:PLAYPOEM 播放[SL:POEM_NAME 静夜思]]
放一首夜空中最亮的星	[IN:PLAYMUSIC 放一首[SL:SONG_NAME 夜空中最亮的星]]
我要听我要听弟子规	[IN:PLAYPOEM 我要听我要听[SL:POEM_NAME 弟子规]]
我想听,中国范儿。	[IN:PLAYMUSIC 我想听,[SL:SONG_NAME 中国范儿]。]
我要听周杰伦的稻香	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 周杰伦]的[SL:SONG_NAME 稻香]]
我想听咱们结婚吧！	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 咱们结婚吧]！]
我想听戴佩妮的怎样	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 戴佩妮]的[SL:SONG_NAME 怎样]]
我想听劲爆一点的歌	[IN:PLAYMUSIC 我想听[SL:SONG_TYPE 劲爆]一点的歌]
你会唱青藏高原吗	[IN:PLAYMUSIC 你会唱[SL:SONG_NAME 青藏高原]吗]
放首民谣	[IN:PLAYMUSIC 放首[SL:SONG_TYPE 民谣]]
橄榄树	[IN:PLAYMUSIC [SL:SONG_NAME 橄榄树]]
小鸡小鸡王蓉。	[IN:PLAYMUSIC [SL:SONG_NAME 小鸡小鸡][SL:SINGER_NAME 王蓉]。]
我要听易烊千玺的歌	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 易烊千玺]的歌]
我要听GAI的歌	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME GAI]的歌]
我要听再见只是陌生人	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 再见只是陌生人]]
安徒生童话	[IN:PLAYFMSTORY [SL:STORY_NAME 安徒生童话]]
我想听尘埃。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 尘埃]。]
我要听国学	[IN:PLAYFMSTORY 我要听[SL:STORY_NAME 国学]]
唱陪我回家	[IN:PLAYMUSIC 唱[SL:SONG_NAME 陪我回家]]
来首虞姬的	[IN:PLAYMUSIC 来首[SL:SINGER_NAME 虞姬]的]
你好请播放郭德纲的相声	[IN:PLAYFMCROSSTALK 你好请播放[SL:CROSSTALK_NAME 郭德纲]的相声]
知道你之歌	[IN:PLAYMUSIC [SL:SONG_NAME 知道你]之歌]
老婆，我想听逆战这首歌。	[IN:PLAYMUSIC 老婆，我想听[SL:SONG_NAME 逆战]这首歌。]
我想听外婆的澎湖湾这首歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 外婆的澎湖湾]这首歌。]
播放假装	[IN:PLAYMUSIC 播放[SL:SONG_NAME 假装]]
给我唱宠爱。	[IN:PLAYMUSIC 给我唱[SL:SONG_NAME 宠爱]。]
我要听黑龙的三十八度六	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 黑龙]的[SL:SONG_NAME 三十八度六]]
小手拍拍的歌曲。	[IN:PLAYMUSIC [SL:SONG_NAME 小手拍拍]的歌曲。]
放一首奥特曼	[IN:PLAYMUSIC 放一首[SL:MOVIE_NAME 奥特曼]]
小马宝莉	[IN:PLAYFMSTORY [SL:STORY_NAME 小马宝莉]]
你好我要听小鹿晗的致爱这首歌	[IN:PLAYMUSIC 你好我要听小[SL:SINGER_NAME 鹿晗]的[SL:SONG_NAME 致爱]这首歌]
奥特曼的主题曲怎么唱	[IN:PLAYMUSIC [SL:ALBUM_NAME 奥特曼]的[SL:SONG_TYPE 主题曲]怎么唱]
红楼梦主题曲	[IN:PLAYMUSIC [SL:ALBUM_NAME 红楼梦][SL:SONG_TYPE 主题曲]]
我想听儿歌！	[IN:PLAYMUSIC 我想听[SL:SONG_TYPE 儿歌]！]
你帮我唱一个，青春修炼手册。	[IN:PLAYMUSIC 你帮我唱一个，[SL:SONG_NAME 青春修炼手册]。]
放一首李宇春的歌	[IN:PLAYMUSIC 放一首[SL:SINGER_NAME 李宇春]的歌]
我想听熊出没的歌。	[IN:PLAYMUSIC 我想听[SL:ALBUM_NAME 熊出没]的歌。]
又见山里红	[IN:PLAYMUSIC [SL:SONG_NAME 又见山里红]]
我要听小孩的歌曲。	[IN:PLAYMUSIC 我要听[SL:SONG_TYPE 小孩]的歌曲。]
来一个小苹果	[IN:PLAYMUSIC 来一个[SL:SONG_NAME 小苹果]]
潇洒走一回播放	[IN:PLAYMUSIC [SL:SONG_NAME 潇洒走一回]播放]
我想听华晨宇的智商二五零	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 华晨宇]的[SL:SONG_NAME 智商二五零]]
来一首江南。	[IN:PLAYMUSIC 来一首[SL:SONG_NAME 江南]。]
笛子独奏	[IN:PLAYMUSIC 笛子[SL:SONG_TYPE 独奏]]
明天早上九点半叫我起床	[IN:REMIND [SL:DATE 明天早上九点半]叫我[SL:EVENT 起床]]
放个儿童歌曲	[IN:PLAYMUSIC 放个[SL:SONG_TYPE 儿童]歌曲]
给我唱一	[IN:PLAYMUSIC 给我唱一]
播放刘德华的歌曲	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 刘德华]的歌曲]
播放笑话全集	[IN:PLAYFMJOKE 播放[SL:JOKE_NAME 笑话全集]]
我还是听筷子兄弟	[IN:PLAYMUSIC 我还是听[SL:SINGER_NAME 筷子兄弟]]
小情歌	[IN:PLAYMUSIC [SL:SONG_NAME 小情歌]]
播放睡眠歌曲	[IN:PLAYMUSIC 播放[SL:SONG_TYPE 睡眠]歌曲]
我想听儿童故事汪汪队立大功	[IN:PLAYFMSTORY 我想听[SL:STORY_TAG 儿童]故事[SL:STORY_NAME 汪汪队立大功]]
播放工业霸主	[IN:PLAYFMFICTION 播放[SL:FICTION_NAME 工业霸主]]
我想听张学友的歌	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 张学友]的歌]
音乐小苹果。	[IN:PLAYMUSIC 音乐[SL:SONG_NAME 小苹果]。]
我想听青涩的时光	[IN:PLAYFMFICTION 我想听[SL:FICTION_NAME 青涩的时光]]
五分钟后提醒我	[IN:REMIND [SL:DATE 五分钟]后提醒我]
听鬼故事	[IN:PLAYFMSTORY 听[SL:STORY_TAG 鬼故事]]
播放男孩	[IN:PLAYMUSIC 播放[SL:SONG_NAME 男孩]]
我要听重播。	[IN:CHAT 我要听[SL:SONG_NAME 重播]。]
一首歌在我心，行吗？	[IN:PLAYMUSIC 一首歌[SL:SONG_NAME 在我心]，行吗？]
我想听吃鸡	[IN:PLAYMUSIC 我想听[SL:SONG_TYPE 吃鸡]]
放一首不	[IN:PLAYMUSIC 放一首不]
哎呀，听我要听小苹果歌。	[IN:PLAYMUSIC 哎呀，听我要听[SL:SONG_NAME 小苹果]歌。]
唱丑八怪。	[IN:PLAYMUSIC 唱[SL:SONG_NAME 丑八怪]。]
那你唱可爱的女人	[IN:PLAYMUSIC 那你唱[SL:SONG_NAME 可爱的女人]]
我想听朱主爱的好想你	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 朱主爱]的[SL:SONG_NAME 好想你]]
我想听马?的南山南	[IN:PLAYMUSIC 我想听马?的[SL:SONG_NAME 南山南]]
想听大笑江湖。	[IN:PLAYMUSIC 想听[SL:SONG_NAME 大笑江湖]。]
我想听爱的供养循环播放。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 爱的供养]循环播放。]
播放黄一琳的歌	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 黄一琳]的歌]
我要听tfboys唱的宠爱。	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME tfboys]唱的[SL:SONG_NAME 宠爱]。]
播放两只老虎。	[IN:PLAYMUSIC 播放[SL:SONG_NAME 两只老虎]。]
播放小毛驴儿	[IN:PLAYMUSIC 播放[SL:SONG_NAME 小毛驴]儿]
aini	[IN:CHAT [SL:SONG_NAME aini]]
我要听，谁是我的菜？	[IN:PLAYMUSIC 我要听，[SL:SONG_NAME 谁是我的菜]？]
播放韩语歌曲	[IN:PLAYMUSIC 播放[SL:SONG_LANGUAGE 韩语]歌曲]
播放一首大王叫我来巡山	[IN:PLAYMUSIC 播放一首[SL:SONG_NAME 大王叫我来巡山]]
唱首小苹果啊!	[IN:PLAYMUSIC 唱首[SL:SONG_NAME 小苹果]啊!]
唱一首轻音乐	[IN:PLAYMUSIC 唱一首[SL:SONG_TYPE 轻音乐]]
中国功夫	[IN:PLAYMUSIC [SL:SONG_NAME 中国功夫]]
我想听故事西游记	[IN:PLAYFMSTORY 我想听故事[SL:STORY_NAME 西游记]]
唱三字经	[IN:PLAYMUSIC 唱[SL:SONG_NAME 三字经]]
给我唱首儿歌吧	[IN:PLAYMUSIC 给我唱首[SL:SONG_TYPE 儿歌]吧]
你会唱汪苏泷的歌吗？	[IN:PLAYMUSIC 你会唱[SL:SINGER_NAME 汪苏泷]的歌吗？]
播放春江花月夜	[IN:PLAYMUSIC 播放[SL:SONG_NAME 春江花月夜]]
我想听徐虎。	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 徐虎]。]
听一首青春修炼手册	[IN:PLAYMUSIC 听一首[SL:SONG_NAME 青春修炼手册]]
给我唱首 信仰	[IN:PLAYMUSIC 给我唱首 [SL:SONG_NAME 信仰]]
高原红	[IN:PLAYMUSIC [SL:SONG_NAME 高原红]]
唱一个年轮怎么样	[IN:PLAYMUSIC 唱一个[SL:SONG_NAME 年轮]怎么样]
小右的歌	[IN:PLAYMUSIC [SL:SINGER_NAME 小右]的歌]
我要听毛毛歌。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 毛毛歌]。]
我想听在飞机场这首歌	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 在飞机场]这首歌]
明天的天气	[IN:GETWEATHER [SL:DATE 明天]的天气]
我想听衣湿乐队的歌	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 衣湿乐队]的歌]
我要听弦子的歌	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 弦子]的歌]
今天的天气如何	[IN:GETWEATHER [SL:DATE 今天]的天气如何]
悟空	[IN:PLAYMUSIC [SL:SONG_NAME 悟空]]
唱首陈奕迅的	[IN:PLAYMUSIC 唱首[SL:SINGER_NAME 陈奕迅]的]
我想听听big。	[IN:PLAYMUSIC 我想听听[SL:SINGER_NAME big]。]
唱苏打绿的小情歌	[IN:PLAYMUSIC 唱[SL:SINGER_NAME 苏打绿]的[SL:SONG_NAME 小情歌]]
播放母亲	[IN:PLAYMUSIC 播放[SL:SONG_NAME 母亲]]
我要听叶子这首歌。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 叶子]这首歌。]
继续播放盗墓笔记	[IN:CONTROLSYSTEM 继续播放[SL:FICTION_NAME 盗墓笔记]]
播放小说笑傲江湖	[IN:PLAYFMFICTION 播放小说[SL:FICTION_NAME 笑傲江湖]]
播放天赋，歌曲。	[IN:PLAYMUSIC 播放[SL:SONG_NAME 天赋]，歌曲。]
春天的歌	[IN:PLAYMUSIC [SL:SONG_NAME 春天的歌]]
哥哥的歌	[IN:PLAYMUSIC [SL:ALBUM_NAME 哥哥的歌]]
我要听大梦想家。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 大梦想家]。]
今天温度多少	[IN:GETWEATHER [SL:DATE 今天]温度多少]
播放倘若无我	[IN:PLAYMUSIC 播放[SL:SONG_NAME 倘若无我]]
我想听朋友的酒。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 朋友的酒]。]
取消明天早上的闹钟	[IN:REMIND 取消[SL:DATE 明天早上]的闹钟]
我想听周杰伦～	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 周杰伦]～]
小欧放一首圣诞歌。	[IN:PLAYMUSIC 小欧放一首[SL:SONG_TYPE 圣诞歌]。]
明天六点半起床	[IN:REMIND [SL:DATE 明天六点半][SL:EVENT 起床]]
我要听郭聪明的歌	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 郭聪明]的歌]
播放情非得已	[IN:PLAYMUSIC 播放[SL:SONG_NAME 情非得已]]
我想听东方红这首歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 东方红]这首歌。]
来一首刘德华的英语	[IN:PLAYMUSIC 来一首[SL:SINGER_NAME 刘德华]的[SL:SONG_TYPE 英语]]
播放夜郎王	[IN:PLAYMUSIC 播放[SL:ALBUM_NAME 夜郎王]]
播放地址	[IN:PLAYMUSIC 播放[SL:SONG_NAME 地址]]
播放崔健的歌	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 崔健]的歌]
唱个陈奕迅的歌	[IN:PLAYMUSIC 唱个[SL:SINGER_NAME 陈奕迅]的歌]
放一首平凡之路	[IN:PLAYMUSIC 放一首[SL:SONG_NAME 平凡之路]]
我想听剑心这首歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 剑心]这首歌。]
你会陈奕迅的歌吗	[IN:PLAYMUSIC 你会[SL:SINGER_NAME 陈奕迅]的歌吗]
播放好男人的歌	[IN:PLAYMUSIC 播放[SL:SONG_NAME 好男人]的歌]
我要听流行歌。	[IN:PLAYMUSIC 我要听[SL:SONG_TYPE 流行]歌。]
对你爱不完	[IN:PLAYMUSIC [SL:SONG_NAME 对你爱不完]]
播放漂向北方	[IN:PLAYMUSIC 播放[SL:SONG_NAME 漂向北方]]
我想听高进;小沈阳的我的好兄弟	[IN:PLAYMUSIC 我想听高进;[SL:SINGER_NAME 小沈阳]的[SL:SONG_NAME 我的好兄弟]]
我想听鸿雁	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 鸿雁]]
放四二	[IN:PLAYMUSIC 放[SL:SONG_NAME 四二]]
我想听孙燕姿的遇见这首歌	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 孙燕姿]的[SL:SONG_NAME 遇见]这首歌]
播放小鸟和树的故事	[IN:PLAYFMSTORY 播放[SL:STORY_NAME 小鸟和树]的故事]
我要听蜗牛。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 蜗牛]。]
莫文蔚音乐	[IN:PLAYMUSIC [SL:SINGER_NAME 莫文蔚]音乐]
一，播放歌曲数鸭子。	[IN:PLAYMUSIC 一，播放歌曲[SL:SONG_NAME 数鸭子]。]
唱歌 青藏高原	[IN:PLAYMUSIC 唱歌 [SL:SONG_NAME 青藏高原]]
唱谢娜的歌	[IN:PLAYMUSIC 唱[SL:SINGER_NAME 谢娜]的歌]
我想听听易烊千玺的声音	[IN:PLAYMUSIC 我想听听[SL:SINGER_NAME 易烊千玺]的声音]
播放梦	[IN:PLAYMUSIC 播放梦]
我要听一千零一夜	[IN:PLAYFMSTORY 我要听[SL:STORY_NAME 一千零一夜]]
唱了一壶老酒。	[IN:PLAYMUSIC 唱了[SL:SONG_NAME 一壶老酒]。]
段子	[IN:PLAYFMJOKE [SL:JOKE_TAG 段子]]
播放许嵩的雅俗共赏	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 许嵩]的[SL:SONG_NAME 雅俗共赏]]
我想听小小鸟歌曲。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 小小鸟]歌曲。]
我要听逆战	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 逆战]]
播放孙楠的若即若离	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 孙楠]的[SL:SONG_NAME 若即若离]]
我想听棒棒糖这首歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 棒棒糖]这首歌。]
小潘潘,小峰峰的学猫叫	[IN:PLAYMUSIC 小潘潘,[SL:SINGER_NAME 小峰峰]的[SL:SONG_NAME 学猫叫]]
我要听李易峰的歌	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 李易峰]的歌]
唱首蓝精灵之歌。	[IN:PLAYMUSIC 唱首[SL:SONG_NAME 蓝精灵之歌]。]
播放音乐是认真的雪	[IN:PLAYMUSIC 播放音乐是[SL:SONG_NAME 认真的雪]]
播放梦千年这首歌儿	[IN:PLAYMUSIC 播放[SL:SONG_NAME 梦千年]这首歌儿]
我想听前门情思大碗茶。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 前门情思大碗茶]。]
嗯，我想听演员。	[IN:PLAYMUSIC 嗯，我想听[SL:SONG_NAME 演员]。]
暂停呢	[IN:CONTROLSYSTEM 暂停呢]
我想听我把城堡这首歌。	[IN:PLAYMUSIC 我想听我把[SL:SONG_NAME 城堡]这首歌。]
我想听东西	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 东西]]
后天下雨吗	[IN:GETWEATHER [SL:DATE 后天]下雨吗]
换一首卡路里	[IN:CONTROLSYSTEM 换一首[SL:SONG_NAME 卡路里]]
我要听宝贝宝贝	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 宝贝宝贝]]
我想听少先队队歌	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 少先队队歌]]
唱一首英雄。	[IN:PLAYMUSIC 唱一首[SL:SONG_NAME 英雄]。]
播放霄旭讲故事的《别再死人灵前说大话》	[IN:PLAYFMSTORY 播放[SL:STORY_TAG 霄旭]讲故事的《[SL:STORY_NAME 别再死人灵前说大话]》]
放舞曲	[IN:PLAYMUSIC 放[SL:SONG_TYPE 舞曲]]
爱上一个不该爱的人。	[IN:PLAYMUSIC [SL:SONG_NAME 爱上一个不该爱的人]。]
我要听歌曲，猪之歌。	[IN:PLAYMUSIC 我要听歌曲，[SL:SONG_NAME 猪之歌]。]
想听奔跑的歌曲。	[IN:PLAYMUSIC 想听[SL:SONG_NAME 奔跑]的歌曲。]
我想听张杰的着魔	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 张杰]的[SL:SONG_NAME 着魔]]
今天什么天气	[IN:GETWEATHER [SL:DATE 今天]什么天气]
